Year,Country,Rent Index,Cost of Living Rank,Cost of Living Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
2020.01,Singapore,63.27,9,81.1,72.58,66.75,58.99,88.96
2020.01,South Korea,22.86,10,78.18,51.72,91.31,44.87,85.21
2020.01,Hong Kong,79.57,11,77.22,78.35,75.94,54.36,65.32
2020.01,Barbados,19.7,12,76.02,49.08,65.2,68.14,51.1
2020.01,Ireland,43.88,13,75.91,60.59,58.35,81.24,80.88
2020.01,France,25.39,14,74.14,50.82,67.9,72.54,80.36
2020.01,Netherlands,35.18,15,73.75,55.3,55.87,80.48,90.73
2020.01,Australia,34.86,16,73.54,55.04,67.23,70.32,107.31
2020.01,New Zealand,32.09,17,72.53,53.19,64.69,68.8,92.66
2020.01,Belgium,25.43,18,71.78,49.61,58.66,80.14,86.28
2020.01,Seychelles,32.34,19,71.59,52.81,64.61,84.86,21.67
2020.01,United States,40.32,20,71.05,56.36,66.61,70.74,109.52
2020.01,Austria,26.81,21,70.38,49.54,61.73,68.09,82.38
2020.01,Finland,26.16,22,70.29,49.18,56.52,76.81,99.93
2020.01,Sweden,25.9,23,69.85,48.83,60.47,72.35,101.73
2020.01,Canada,30.73,24,67.62,49.98,63.68,63.53,95.09
2020.01,Puerto Rico,19.29,25,67.54,44.46,65.76,58.68,79.38
2020.01,Malta,31.04,26,67.46,50.04,54.9,75.94,46.32
2020.01,United Kingdom,29.85,27,67.28,49.38,51.27,74.13,91.73
2020.01,Italy,21.22,28,67.26,45.24,55.44,72.32,65.59
2020.01,Germany,27.06,29,65.26,46.99,49.23,61.58,102.36
2020.01,Macao,43.98,30,64.84,54.87,62,43.37,80.9
2020.01,Qatar,47.44,31,64.04,56.1,53.61,66.83,111.69
2020.01,United Arab Emirates,41.07,32,61.98,51.98,47.63,61.32,91.58
2020.01,Taiwan,16.42,33,61.37,39.87,71.51,28.49,65.67
2020.01,Lebanon,24.54,34,60.5,43.3,43.92,58.16,44.47
2020.01,Bahrain,30.95,35,58.94,45.55,48.11,54.55,57.88
2020.01,Cyprus,20.54,36,57.93,40.05,44.21,63.11,57.41
2020.01,Jamaica,15.25,37,57.82,37.46,58.96,38.12,32.37
2020.01,Greece,11.68,38,55.67,34.62,41.63,53.74,43.68
2020.01,Zimbabwe,11.02,39,55.3,34.12,50.8,40.79,26.03
2020.01,Palestine,8.83,40,54.54,32.68,46.67,38.93,46.91
2020.01,Ethiopia,20.9,41,54.39,38.37,36.3,19.37,8.34
2020.01,Panama,24.76,42,54.16,40.09,53.03,47.27,34.23
2020.01,Costa Rica,15.55,43,53.98,35.6,49.6,43.51,42.61
2020.01,Spain,21.77,44,53.77,38.46,42.38,52.07,72.03
2020.01,Trinidad And Tobago,17.26,45,53.7,36.27,49.43,49.83,45.7
2020.01,Jordan,11.54,46,53.67,33.52,43.32,47.12,34.88
2020.01,Slovenia,17.09,47,53.43,36.05,43.76,45.43,66.31
2020.01,Mauritius,11.99,48,53.04,33.41,48.94,43.96,30.88
2020.01,Uruguay,14.43,49,51.04,33.53,40.12,47.41,37.46
2020.01,Estonia,15.41,50,50.93,33.94,36.57,52.94,71.3
2020.01,Kuwait,31.21,51,50.37,41.21,34.68,47.08,85.59
2020.01,Thailand,17.1,52,49.77,34.14,49.2,24.9,35.45
2020.01,Croatia,13.5,53,49.7,32.38,39.9,42.44,50.42
2020.01,Portugal,21.81,54,49.52,36.27,38.14,42.48,49.43
2020.01,Oman,17.98,55,49.28,34.31,43.5,44.26,80.97
2020.01,Belize,9.74,56,49.23,30.34,41.89,37.05,57.53
2020.01,Saudi Arabia,11.39,57,48.34,30.67,37.89,33.51,100
2020.01,Latvia,12.34,58,47.94,30.91,34.85,42.88,52.48
2020.01,Cambodia,14.9,59,47.49,31.9,44.56,25.19,11.29
2020.01,Fiji,18.55,60,47.48,33.64,52.67,35.87,33.17
2020.01,Czech Republic,19.56,61,46.15,33.43,38.13,34.1,62.82
2020.01,El Salvador,13.48,62,45.57,30.22,43.67,34.8,24.71
2020.01,Brunei,23.08,63,44.71,34.36,37.11,38.06,86.95
2020.01,Nicaragua,7.61,64,44.56,26.88,41.71,31.41,23.92
2020.01,Slovakia,16.11,65,44.46,30.9,37.51,33.82,56.94
2020.01,Lithuania,13.65,66,44.28,29.63,33.63,42.7,57.85
2020.01,Dominican Republic,10.62,67,44.06,28.06,35.93,38.27,23.95
2020.01,Chile,13.39,68,43.62,29.16,36.45,41.57,42.5
2020.01,Cuba,4.84,69,43.46,24.99,37.4,30.95,2.18
2020.01,Suriname,7.79,70,43.14,26.23,45.78,34.98,22.39
2020.01,Namibia,16.12,71,43.1,30.19,36.8,39.22,55.65
2020.01,South Africa,16.61,72,42.87,30.31,33.29,40.58,73.61
2020.01,Guatemala,15.29,73,42.7,29.59,37.41,33,39.83
2020.01,Honduras,10.6,74,42.17,27.07,33.33,30.55,30.26
2020.01,Myanmar,23.78,75,42.11,33.35,44.68,19.04,10.22
2020.01,Ecuador,11.96,76,40.98,27.1,35.46,30.66,36.08
2020.01,Hungary,13.97,77,40.85,27.99,30.77,34.46,47.55
2020.01,Brazil,10.65,78,40.22,26.08,29.2,30.78,32.81
2020.01,Kenya,10.73,79,40.21,26.11,35.35,35.06,27.32
2020.01,China,16.38,80,40.04,28.72,40.37,29.16,60.88
2020.01,Poland,15.67,81,40.04,28.38,30.55,33.45,59.61
2020.01,Russia,11.36,82,39.21,25.89,31.08,39.61,38.94
2020.01,Botswana,11.12,83,39.13,25.73,31.74,39.98,58.1
2020.01,Malaysia,11,84,39.12,25.67,37.58,22.94,64.49
2020.01,Iraq,11.28,85,39.04,25.76,31.85,32.72,42.43
2020.01,Iran,14.48,86,39.01,27.28,35.54,25.12,22.69
2020.01,Somalia,4.75,87,38.68,22.45,45.88,27.04,33.24
2020.01,Peru,12.78,88,38.65,26.28,33.8,24.69,33.95
2020.01,Vietnam,13.57,89,38.34,26.5,37.06,19.59,28.14
2020.01,Montenegro,10.38,90,38.23,24.91,28.63,33.16,39.8
2020.01,Ghana,19.41,91,37.65,28.93,37.17,26.59,14.66
2020.01,Philippines,9,92,37.63,23.94,33.46,20.84,23.48
2020.01,Indonesia,10.62,93,37.27,24.52,37.36,18.25,25.05
2020.01,Bulgaria,9.64,94,36.7,23.75,30.09,29.14,49.37
2020.01,Albania,8.55,95,36.39,23.07,28.39,26.75,29.56
2020.01,Bosnia And Herzegovina,6.72,96,35.97,21.97,28.08,25.1,41.83
2020.01,Mexico,11.46,97,35.72,24.11,32.39,32.12,41.81
2020.01,Serbia,9.08,98,35.72,22.98,25.46,28.63,36.72
2020.01,Romania,10.05,99,35.31,23.22,29.03,30.5,48.86
2020.01,Tanzania,14.04,100,35.25,25.11,29.66,22.57,17.58
2020.01,Belarus,10.5,101,34.7,23.13,28.06,38.94,37
2020.01,Turkey,6.78,102,34.69,21.34,29.76,24.16,40.85
2020.01,Bolivia,10.93,103,34.56,23.26,28.09,25.11,39.34
2020.01,Morocco,8.94,104,34.32,22.18,30.11,24.5,35.25
2020.01,Moldova,8.4,105,33.7,21.6,25.96,27.79,27.57
2020.01,Rwanda,11.88,106,33.35,23.08,26.83,29.17,19.32
2020.01,Ukraine,10.46,107,33.18,22.31,26.01,26.42,31.8
2020.01,Argentina,8.33,108,32.95,21.17,25.82,30.52,47.22
2020.01,Armenia,10.91,109,32.84,22.35,25.61,30.43,28
2020.01,Bangladesh,5.01,110,32.25,19.22,29.72,19.21,33.21
2020.01,Zambia,7.39,111,31.72,20.08,26.86,22.07,54.14
2020.01,Sri Lanka,7.74,112,31.61,20.2,35.09,18.76,24.45
2020.01,North Macedonia,6.49,113,31.59,19.58,24.94,23.31,37.15
2020.01,Paraguay,9.66,114,31.1,20.85,25.03,25.01,32.6
2020.01,Nigeria,23.59,115,31,27.45,31.15,17.71,13.52
2020.01,Colombia,9.58,116,30.66,20.58,25.05,22.44,31.12
2020.01,Kazakhstan,9.78,117,30.64,20.66,24.31,29.87,38.36
2020.01,Uganda,10.15,118,30.18,20.6,25.25,22.14,20.5
2020.01,Algeria,5.34,119,30.1,18.26,30.71,15.89,28.69
2020.01,Azerbaijan,9.48,120,29.92,20.15,23.74,30.36,30.2
2020.01,Egypt,5.49,121,29.54,18.04,25.5,23.53,22.41
2020.01,Nepal,4.77,122,29.05,17.44,24.91,20.36,21.9
2020.01,Georgia,9.8,123,28.48,19.54,23.05,26.66,24.88
2020.01,Kosovo (Disputed Territory),8.47,124,28.47,18.91,26.53,21.04,48.9
2020.01,Venezuela,6.81,125,27.17,17.43,28.29,24.41,2.61
2020.01,Tunisia,5.51,126,27.04,16.74,25.25,14.95,34.45
2020.01,Kyrgyzstan,9.18,127,26.97,18.46,23.39,21.45,24.98
2020.01,Uzbekistan,7.54,128,26.01,17.18,21.59,20.17,24.31
2020.01,Syria,5.68,129,25.31,15.92,22.42,21.38,11.46
2020.01,India,5.68,130,24.58,15.54,24.55,17.17,54.3
2020.01,Afghanistan,4.03,131,24.24,14.58,17.7,17.38,28.2
2020.01,Pakistan,4.59,132,21.98,13.66,19.08,16.78,30.57
2020.06,Bermuda,85.7,1,147.77,117.54,146.63,152.52,78.17
2020.06,Switzerland,51.2,2,125.69,89.41,124.93,118.55,114.83
2020.06,Norway,32.61,3,96.8,65.54,89.55,96.81,83.4
2020.06,Iceland,38.54,4,90.19,65.04,80.91,97.17,74.78
2020.06,Japan,26.18,5,86.22,56.98,86.84,48.07,78.88
2020.06,Denmark,33.1,6,85.02,59.74,65.85,95.71,101.27
2020.06,Luxembourg,55.11,7,84.38,70.13,74.03,86.29,99.86
2020.06,Bahamas,37.04,8,84.25,61.26,64.89,83.29,53.12
2020.06,Israel,29.96,9,82.52,56.93,68.65,86.25,73.94
2020.06,Singapore,61.27,10,81.13,71.46,69.2,58,82.61
2020.06,Barbados,20.16,11,79.92,50.82,67.5,68.34,49.24
2020.06,Ireland,41.63,12,78.07,60.33,61.63,76.61,74.58
2020.06,Hong Kong,75.26,13,77.9,76.62,77.47,54.7,67.02
2020.06,France,25.85,14,76.34,51.75,72.34,69.07,76.21
2020.06,South Korea,21.91,15,75.93,49.63,91.35,40.47,81.67
2020.06,Australia,34.18,16,75.89,55.58,70.62,68.88,103.38
2020.06,Netherlands,35.59,17,74.63,55.62,57.81,76.09,86.76
2020.06,Seychelles,30.11,18,74.41,52.83,74.36,75.47,19.77
2020.06,Belgium,24.4,19,73.59,49.63,61.73,75.62,80.12
2020.06,Finland,25.89,20,72.71,49.91,59.61,77.75,93.94
2020.06,United States,40.07,21,72.47,56.69,69.68,68.29,108.29
2020.06,Sweden,25.86,22,72.31,49.69,63.62,71.03,94.04
2020.06,New Zealand,31.74,23,71.83,52.31,66.29,63.05,87.22
2020.06,Austria,26.32,24,71.78,49.64,63.63,66.24,79.38
2020.06,Macao,42.47,25,70.18,56.69,67.3,48.91,73.01
2020.06,Puerto Rico,18.89,26,70.02,45.12,71.53,57.74,71.16
2020.06,Malta,30.4,27,69.26,50.34,57.97,71.82,44.65
2020.06,Italy,21.4,28,68.95,45.79,58.29,68.8,61.8
2020.06,Qatar,46.01,29,67.54,57.05,59.2,63.91,99.82
2020.06,Germany,26.99,30,66.34,47.18,50.29,60.53,97.41
2020.06,Canada,29.28,31,66.18,48.21,63.4,59.6,83.22
2020.06,Libya,14.88,32,66.06,41.14,76.25,37.6,38.39
2020.06,United Kingdom,28.31,33,65.67,47.48,51.15,68.45,86.98
2020.06,Lebanon,23.18,34,64.26,44.25,50.7,54.77,35.28
2020.06,United Arab Emirates,40.03,35,62.98,51.81,49.26,59.17,86.06
2020.06,Taiwan,16.87,36,61.95,40,74.5,26.03,61.36
2020.06,Cyprus,20.5,37,59.93,40.73,47.04,61.84,56.8
2020.06,Bahrain,29.46,38,58.36,44.29,47.99,50.37,56.17
2020.06,Greece,11.89,39,57.5,35.29,43.67,52.42,40.75
2020.06,Trinidad And Tobago,16.88,40,56.66,37.29,54.08,52.55,41.39
2020.06,Croatia,13.71,41,56.31,35.56,50.6,45.51,43.25
2020.06,Spain,21.69,42,55.27,38.91,44.89,51.68,67.73
2020.06,Slovenia,17.47,43,55.17,36.81,46.42,44.15,60.61
2020.06,Panama,23.6,44,55.02,39.72,55.67,46.43,33.79
2020.06,Palestine,9.29,45,54.96,32.72,48.51,37.26,40.94
2020.06,Ethiopia,15.43,46,54.86,35.66,38.08,20.18,9.13
2020.06,Jamaica,15.26,47,54.36,35.32,56.28,34.82,35.55
2020.06,Costa Rica,15.4,48,54.2,35.31,51.18,43.39,36.43
2020.06,Zimbabwe,10.31,49,54.06,32.75,48.47,39.36,22.59
2020.06,Jordan,10.63,50,53.4,32.57,43.07,43.82,34.7
2020.06,Belize,11.67,51,53.08,32.91,46.98,35.49,47.93
2020.06,Estonia,14.59,52,52.93,34.26,39.67,52.38,66.08
2020.06,Mauritius,11.1,53,51.75,31.96,52.09,36.99,28.79
2020.06,Kuwait,29.84,54,49.86,40.11,35.07,43.54,79.31
2020.06,Fiji,17.79,55,49.65,34.13,55.32,37.11,31.49
2020.06,Portugal,20.78,56,49.52,35.52,38.97,39.26,47.1
2020.06,Oman,16.78,57,49.42,33.52,44.85,41.08,87.3
2020.06,Latvia,12.66,58,49.18,31.4,37.15,40.35,49.49
2020.06,Saudi Arabia,11.61,59,49.15,30.87,39.36,31.42,93.84
2020.06,Thailand,16.29,60,48.97,33.06,49.38,23.64,33.02
2020.06,Suriname,9.36,61,47.95,29.16,48.53,44.21,18.52
2020.06,Cambodia,14.39,62,47.91,31.59,47.04,22.51,11.66
2020.06,Brunei,21.9,63,47.49,35.03,44.48,34.08,75.32
2020.06,Slovakia,15.68,64,46.8,31.65,40.7,34.52,53.39
2020.06,Uruguay,13.04,65,46.66,30.29,36.95,43.13,33.77
2020.06,Chile,13.66,66,45.43,29.96,37.78,42.9,35.55
2020.06,Czech Republic,18.37,67,45.05,32.06,38.53,30.86,59.28
2020.06,El Salvador,12.77,68,44.96,29.29,43.82,33.1,22.56
2020.06,Lithuania,13.44,69,44.85,29.56,34.97,40.64,55.57
2020.06,Guatemala,15.18,70,44.23,30.08,38.84,32.28,34.35
2020.06,Cuba,4.3,71,43.85,24.59,38.63,32.13,2.05
2020.06,Nicaragua,7.93,72,43.7,26.28,40.6,29.26,19.67
2020.06,Honduras,10.69,73,42.73,27.13,34.94,28.22,30.08
2020.06,Dominican Republic,10.05,74,41.76,26.32,35.41,35.1,22.69
2020.06,Ecuador,11.68,75,40.62,26.53,35.68,27.67,32.7
2020.06,Hungary,12.68,76,40.09,26.74,31.6,31.09,46.3
2020.06,Mozambique,17.04,77,39.98,28.81,30.71,30.1,15.17
2020.06,China,15.2,78,39.51,27.67,41.31,25.88,60.44
2020.06,Poland,15.77,79,39.46,27.93,30.72,32.44,52.3
2020.06,Philippines,10.12,80,39.25,25.07,36.04,20.64,21.38
2020.06,Botswana,9.75,81,39.13,24.82,34.01,39.11,66.79
2020.06,Cameroon,7.06,82,38.95,23.42,38.49,22.18,16.6
2020.06,Montenegro,10.6,83,38.68,25.01,29.74,30.35,37.54
2020.06,Ghana,20.93,84,38.52,29.95,38.15,26.54,16.02
2020.06,Iraq,10.84,85,38.49,25.03,32.36,30.21,41.54
2020.06,Somalia,5.22,86,38.48,22.28,45.94,25.75,28.91
2020.06,Iran,16.34,87,38.47,27.69,32.43,24.7,21.88
2020.06,Myanmar,26.72,88,38.47,32.75,39.35,20.68,10.33
2020.06,Bulgaria,9.5,89,38.39,24.32,32.32,29.33,44.11
2020.06,Vietnam,13.48,90,38.12,26.12,37.65,19.06,26.98
2020.06,Namibia,12.52,91,38.12,25.65,31.83,36.63,58.12
2020.06,Malaysia,10,92,38.09,24.41,38.22,20.57,59.12
2020.06,Kenya,9.34,93,37.75,23.92,34,31.23,28.98
2020.06,Peru,12.33,94,37.64,25.32,34.29,23.29,30.66
2020.06,South Africa,14.52,95,37.52,26.32,30.14,33.18,73.52
2020.06,Serbia,9.07,96,36.98,23.39,27.31,28.14,36.04
2020.06,Albania,7.94,97,36.96,22.83,29.79,25.93,28.12
2020.06,Indonesia,10.02,98,36.86,23.79,37.6,17.74,22.19
2020.06,Tanzania,13.21,99,36.85,25.34,32.44,24.07,13.89
2020.06,Bosnia And Herzegovina,6.59,100,36.57,21.97,29.15,24.05,41.58
2020.06,Romania,9.89,101,36.23,23.4,30.56,30.37,46.7
2020.06,Rwanda,14.64,102,36.21,25.71,29.74,30.74,20.54
2020.06,Bolivia,10.78,103,36.02,23.73,31.07,24.83,39.3
2020.06,Morocco,8.53,104,34.44,21.82,30.14,24.24,33.44
2020.06,Mongolia,10.97,105,33.97,22.77,33.6,22.37,28.38
2020.06,Armenia,10.81,106,33.71,22.56,26.32,27.86,26.09
2020.06,Russia,9.64,107,33.66,21.96,27.36,31.12,35.96
2020.06,Moldova,8.37,108,33.52,21.27,25.98,28.74,25.39
2020.06,Bangladesh,5.04,109,33.41,19.59,30.64,19.42,27.59
2020.06,North Macedonia,6.3,110,32.96,19.98,26.77,22.46,33.3
2020.06,Sri Lanka,8.76,111,32.93,21.16,37.32,17.15,21.42
2020.06,Belarus,9.27,112,32.63,21.25,27.79,32.71,33.7
2020.06,Turkey,6.71,113,32.44,19.91,27.74,20.72,38.04
2020.06,Argentina,7.29,114,31.18,19.55,25.17,26.91,43.38
2020.06,Azerbaijan,9.1,115,31.14,20.41,25.1,29.65,27.19
2020.06,Kazakhstan,9.52,116,31.01,20.55,25.85,27.2,38.26
2020.06,Brazil,7.91,117,30.99,19.75,23.58,22.03,30.36
2020.06,Uganda,8.79,118,30.96,20.17,26.19,22.42,14.73
2020.06,Mexico,10.37,119,30.93,20.91,28.93,25.46,38.17
2020.06,Paraguay,9.37,120,30.34,20.13,24.8,23.25,30.93
2020.06,Ukraine,9.06,121,30.05,19.83,24.4,23.8,30.9
2020.06,Nigeria,27.24,122,29.76,28.53,30.39,17.66,11.1
2020.06,Georgia,10.35,123,29.71,20.28,25.32,26.13,24.77
2020.06,Egypt,5.53,124,29.55,17.85,25.54,23.52,21.09
2020.06,Colombia,9.02,125,29.02,19.28,23.97,20.38,27.92
2020.06,Algeria,5.01,126,28.88,17.25,29.2,14.98,26.9
2020.06,Kosovo (Disputed Territory),8.5,127,28.42,18.72,26.62,19.46,43.32
2020.06,Nepal,4.69,128,28.17,16.73,24.98,19.16,20.17
2020.06,Tunisia,5.49,129,27.93,17,26.92,14.51,30.24
2020.06,Uzbekistan,7.59,130,27.37,17.74,22.87,21.25,22.25
2020.06,Syria,5.77,131,27.04,16.68,24.42,23.21,9.48
2020.06,Afghanistan,3.99,132,26.71,15.65,18.99,18.48,28.19
2020.06,Kyrgyzstan,7.78,133,24.7,16.46,21.76,20.96,23.56
2020.06,India,5.5,134,24.12,15.05,24.57,16.38,50.55
2020.06,Pakistan,4.28,135,21,12.86,18.21,16.25,28.39
2021.01,Bermuda,92.86,1,145.07,120.13,141.77,157.7,83.43
2021.01,Switzerland,55.05,2,131.75,95.1,133.36,126.08,110.96
2021.01,Norway,36.18,3,106.09,72.68,100.59,105.9,79.43
2021.01,Iceland,43.17,4,96.77,71.16,88.84,102.24,71.88
2021.01,Denmark,36.18,5,91.67,65.16,72.62,104.92,94.73
2021.01,Luxembourg,61.62,6,88.28,75.54,80.71,94.66,95.38
2021.01,Japan,28.03,7,87.77,59.23,90.47,49.74,76.53
2021.01,Israel,31.9,8,86.63,60.48,73.68,91.1,70.36
2021.01,Bahamas,34.54,9,85.85,61.33,69.35,89.29,49.31
2021.01,Singapore,64.77,10,85.59,75.64,75.31,62.07,83.62
2021.01,Australia,38.38,11,84.14,62.28,81.14,76.28,99.29
2021.01,Ireland,45.42,12,83.11,65.1,67.8,82.34,73.84
2021.01,Barbados,21.09,13,81.49,52.63,71.51,72.85,45.34
2021.01,South Korea,22.91,14,81.2,53.35,99.84,43.98,76.6
2021.01,France,27.79,15,80.62,55.38,77.46,75.48,74.06
2021.01,Hong Kong,74.24,16,79.94,77.22,81.73,58.6,62.45
2021.01,Sweden,28.08,17,79.17,54.76,71.67,77.23,90.55
2021.01,New Zealand,35.38,18,79.14,58.23,75.03,69.18,81.44
2021.01,Seychelles,34.32,19,78.92,57.61,78.56,84.24,18.03
2021.01,Netherlands,39.31,20,78.64,59.85,61.63,81.62,83.89
2021.01,Belgium,26.84,21,78.52,53.83,67.33,82.4,76.54
2021.01,Finland,28.04,22,77.46,53.85,65.6,81.22,89.05
2021.01,Lebanon,24.08,23,75.88,51.13,72.51,62.89,29.49
2021.01,Austria,28.42,24,75.49,53,67.62,70.98,78.23
2021.01,Malta,32.96,25,73.61,54.19,63.41,77.04,41.89
2021.01,Italy,22.91,26,73.11,49.13,62.46,75.6,58.7
2021.01,United States,41.14,27,71.92,57.21,70.24,69.42,102.58
2021.01,United Kingdom,31.61,28,71.03,52.19,56.38,74.69,82.56
2021.01,Germany,29.64,29,70.62,51.04,54.69,65,93.72
2021.01,Canada,32.48,30,70.08,52.12,68.5,63.96,82.76
2021.01,Macao,44.39,31,69.6,57.56,66.28,48.93,67.6
2021.01,Puerto Rico,19.42,32,69.51,45.58,72.13,58.12,69.22
2021.01,Taiwan,17.92,33,65.25,42.64,79.11,28.8,56.08
2021.01,Qatar,46.59,34,64.23,55.8,56.72,62.58,93.12
2021.01,Cyprus,22.7,35,64.05,44.29,51.68,66.31,52.34
2021.01,United Arab Emirates,40.62,36,61.67,51.61,48.84,61.25,85.74
2021.01,Greece,13.05,37,60.96,38.07,47.66,55.71,38.95
2021.01,Slovenia,18.88,38,59.38,40.03,51.46,47.86,56.14
2021.01,Spain,23.59,39,59.09,42.13,48.74,56.99,62.68
2021.01,Bahrain,29.53,40,57.7,44.24,46.96,52.27,53.24
2021.01,Estonia,16.27,41,56.45,37.25,43.35,56.27,61.22
2021.01,Croatia,14.94,42,56.36,36.57,49.1,46.13,43.13
2021.01,Palestine,9.98,43,55.88,33.95,50.24,36.21,39.1
2021.01,Cuba,14.89,44,55.54,36.12,46.93,32.85,1.42
2021.01,Trinidad And Tobago,16.44,45,55.48,36.83,53.09,52.21,39
2021.01,Ivory Coast,20.26,46,54.61,38.2,47.15,34.5,6.32
2021.01,Ethiopia,15.59,47,54.3,35.8,37.47,18.17,10.1
2021.01,Panama,22.58,48,54.07,39.02,54.77,45.48,32.05
2021.01,Jamaica,15.93,49,53.16,35.37,55.94,33.12,32.21
2021.01,Portugal,22.31,50,52.88,38.27,42.01,43.24,44.96
2021.01,Latvia,13.17,51,52.87,33.9,41.36,44.92,45.94
2021.01,Mauritius,12.32,52,52.57,33.34,54.15,37.56,27.38
2021.01,Belize,11.56,53,52.45,32.91,47.82,36.1,45.71
2021.01,Jordan,9.69,54,52.17,31.87,42.76,42.08,33.13
2021.01,Suriname,10.42,55,51.86,32.06,50.39,62.59,16.47
2021.01,Zimbabwe,9.44,56,51.52,31.41,45.56,39.29,22.1
2021.01,Yemen,6.21,57,51.46,29.84,61.17,23.62,14.75
2021.01,Uruguay,13.56,58,51.09,33.16,40.83,48.95,30.62
2021.01,Costa Rica,14.52,59,50.64,33.38,48.03,41.33,39.01
2021.01,Oman,17.32,60,50.18,34.48,46.9,41.88,84.45
2021.01,Saudi Arabia,11.64,61,49.95,31.64,41.74,31.98,88.18
2021.01,Kuwait,31.43,62,49.4,40.82,35.87,45.12,75.32
2021.01,Brunei,23.44,63,49.35,36.97,47.21,35.86,89.03
2021.01,Chile,14.66,64,49.33,32.76,41.82,45.96,33.33
2021.01,Thailand,16.33,65,49.32,33.56,50.64,24.19,31.36
2021.01,Czech Republic,19.81,66,49.18,35.15,42.76,34.68,56.4
2021.01,Slovakia,17.43,67,49.08,33.96,42.96,37.47,50.39
2021.01,Fiji,17.77,68,48.54,33.84,53.43,38.55,30.04
2021.01,Cambodia,14.56,69,47.91,31.98,48.64,23.1,11.4
2021.01,Lithuania,14.63,70,47.66,31.88,37.28,45.96,54.6
2021.01,Guatemala,15.24,71,44.76,30.66,41.68,32.45,25.64
2021.01,El Salvador,13.33,72,44.57,29.64,42.69,33.33,20.72
2021.01,Nicaragua,7.99,73,42.77,26.15,41.07,29.47,16.69
2021.01,Hungary,12.75,74,42.75,28.42,35.46,34.24,49.81
2021.01,Cameroon,7.42,75,42.57,25.78,42.88,24.67,15.37
2021.01,China,16.42,76,42.54,30.06,45.49,28.4,57.47
2021.01,Honduras,10.63,77,42.2,27.12,35.13,28.73,31.06
2021.01,Poland,18.09,78,42.04,30.6,33.45,35.38,47.09
2021.01,South Africa,15.94,79,41.69,29.38,34.59,37.22,72.92
2021.01,Dominican Republic,9.81,80,41.54,26.38,36.12,35.28,21.72
2021.01,Montenegro,11.75,81,41.43,27.25,32.55,32.54,35.36
2021.01,Iran,17.88,82,41.34,30.13,36.26,25.85,19
2021.01,Namibia,14.29,83,41.02,28.25,35.67,35.58,53.28
2021.01,Bulgaria,9.88,84,40.92,26.09,35.24,31.88,40.26
2021.01,Philippines,10.41,85,40.65,26.2,38.91,22.16,19.71
2021.01,Ghana,18.44,86,40.63,30.02,41.21,31.53,15.19
2021.01,Botswana,10.74,87,40.41,26.23,34.64,41.52,61.95
2021.01,Albania,9.21,88,40.25,25.42,32.73,30.71,26.58
2021.01,Ecuador,12.03,89,40.08,26.68,36.42,28.55,30.54
2021.01,Malaysia,10.77,90,39.51,25.78,40.2,21.71,56.1
2021.01,Serbia,9.83,91,39.19,25.17,29.68,30.59,35.83
2021.01,Bosnia And Herzegovina,7.13,92,38.56,23.54,31.84,25.7,42.56
2021.01,Romania,10.76,93,38.5,25.25,33.45,32.38,45.19
2021.01,Myanmar,21.71,94,38.06,30.25,39.59,21.22,10.67
2021.01,Vietnam,14.16,95,38.05,26.63,38.32,19.03,27.26
2021.01,Argentina,8.49,96,37.87,23.83,29.2,33.39,34.56
2021.01,Indonesia,10.29,97,37.44,24.47,39.4,17.99,20.89
2021.01,Somalia,5.9,98,37.42,22.36,44.46,26.73,27.23
2021.01,Morocco,9.72,99,36.85,23.89,32.78,26.33,32.17
2021.01,Kenya,9.17,100,36.3,23.33,33.38,30.5,27.67
2021.01,Peru,12.25,101,36.26,24.79,33.83,23.56,28.81
2021.01,Bolivia,10.76,102,36.11,23.99,31.94,25.24,37.23
2021.01,Mozambique,15.12,103,35.89,25.97,29.07,29.28,16.4
2021.01,Mexico,11.62,104,35.05,23.86,33.64,28.92,35.54
2021.01,Tanzania,13.11,105,34.6,24.33,30.62,25.16,16.05
2021.01,North Macedonia,6.72,106,34.15,21.04,28.46,22.46,31.97
2021.01,Rwanda,14.92,107,34.07,24.92,28.51,28.54,21.97
2021.01,Bangladesh,4.9,108,33.31,19.74,31.49,20.39,24.07
2021.01,Mongolia,9.91,109,33.17,22.05,33.11,23.35,28.09
2021.01,Russia,9.77,110,33.17,21.99,27.81,30.65,34.61
2021.01,Iraq,9.76,111,32.72,21.75,27.48,25.64,39.75
2021.01,Moldova,8.65,112,32.68,21.2,26.07,26.59,26.99
2021.01,Uganda,7.29,113,32.18,20.29,28.93,22,13.97
2021.01,Brazil,8.12,114,31.82,20.5,25.41,22.55,28.66
2021.01,Armenia,10.36,115,31.68,21.5,24.56,27.25,26.13
2021.01,Turkey,6.1,116,31.48,19.35,28.11,19.91,35.35
2021.01,Sri Lanka,8.54,117,31.28,20.42,36.47,16.54,20.77
2021.01,Colombia,9.96,118,31,20.94,26.28,21.8,26.13
2021.01,Azerbaijan,9.02,119,30.9,20.45,26.23,28.66,25.77
2021.01,Paraguay,9.77,120,30.72,20.71,24.55,24.34,27.51
2021.01,Belarus,9.19,121,30.69,20.42,26.57,31.03,31.96
2021.01,Egypt,5.97,122,30.1,18.57,26.53,24.91,19.99
