Year,Country,Property Price Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
2020.06,Norway,84,8.68,3.61,4.04,27.7,24.73,57.19,1.75
2020.06,New Zealand,85,8.66,4.33,4.51,23.1,22.16,65.77,1.52
2020.06,Switzerland,86,8.52,2.98,3.37,33.54,29.69,49.78,2.01
2020.06,Turkey,87,8.48,5.44,6.21,18.38,16.1,146.54,0.68
2020.06,Bahrain,88,8.28,7.44,7.95,13.44,12.58,73.08,1.37
2020.06,Canada,89,8.18,4.55,5.45,21.96,18.35,57.74,1.73
2020.06,Jordan,90,7.88,6.06,7.15,16.49,14,79.71,1.25
2020.06,Ireland,91,7.75,6.23,7.14,16.06,14.01,54.62,1.83
2020.06,Trinidad And Tobago,92,7.69,8.63,6.36,11.59,15.73,67.67,1.48
2020.06,Cyprus,93,7.48,6.31,6.58,15.84,15.2,50.41,1.98
2020.06,Netherlands,94,7.45,5.39,5.64,18.54,17.72,46.47,2.15
2020.06,Australia,95,7.44,4.35,4.5,22.97,22.23,54.43,1.84
2020.06,Denmark,96,6.96,4.15,4.34,24.11,23.05,41.09,2.43
2020.06,Belgium,97,6.91,4.89,5,20.47,19.98,41.42,2.41
2020.06,Iceland,98,6.63,6.36,6.94,15.73,14.4,57.43,1.74
2020.06,Oman,99,6.11,5.52,4.48,18.13,22.34,47.12,2.12
2020.06,Qatar,100,6.03,7.27,6.99,13.75,14.3,46.92,2.13
2020.06,United Arab Emirates,101,5.14,9.17,9.35,10.91,10.7,38.43,2.6
2020.06,Palestine,102,4.62,7.82,8.12,12.78,12.31,45.23,2.21
2020.06,South Africa,103,4.24,8.4,11.05,11.9,9.05,51.26,1.95
2020.06,United States,104,3.72,8.96,10.82,11.15,9.25,27.68,3.61
2020.06,Puerto Rico,105,3.66,8.75,8.61,11.43,11.61,28.51,3.51
2020.06,Saudi Arabia,106,2.72,7.66,8.49,13.06,11.78,20.29,4.93
2021.01,Syria,1,63.23,2.94,3.16,34,31.69,709.44,0.14
2021.01,Hong Kong,2,45.19,1.62,1.74,61.64,57.56,288.29,0.35
2021.01,Jamaica,3,35.95,2.84,1.2,35.27,83.54,374.4,0.27
2021.01,Cambodia,4,35.81,4.99,5.55,20.02,18.01,429.03,0.23
2021.01,Sri Lanka,5,35.01,2.76,2.72,36.24,36.74,534.08,0.19
2021.01,Iran,6,34.24,4.13,4.9,24.18,20.4,730.02,0.14
2021.01,Philippines,7,30.14,3.28,3.25,30.51,30.75,294.61,0.34
2021.01,China,8,29.02,1.52,1.72,65.73,58.11,232.37,0.43
2021.01,Kenya,9,27.27,2.06,4.03,48.55,24.83,420.33,0.24
2021.01,Nepal,10,23.76,2.44,2.9,40.92,34.43,307.99,0.32
2021.01,Taiwan,11,23.63,1.49,1.54,67.06,65.11,141.61,0.71
2021.01,South Korea,12,23.63,1.05,1.23,95.14,81.52,163.61,0.61
2021.01,Argentina,13,22.68,2.22,2.29,45.04,43.75,941.22,0.11
2021.01,Thailand,14,22.16,3.17,3.64,31.59,27.48,179.85,0.56
2021.01,Indonesia,15,22.01,4.07,4.81,24.57,20.81,256.78,0.39
2021.01,Vietnam,16,20.59,4.03,5.79,24.84,17.27,223.94,0.45
2021.01,Singapore,17,19.38,2.42,3.05,41.28,32.75,120.99,0.83
2021.01,Colombia,18,18.67,5.1,4.67,19.62,21.43,239.8,0.42
2021.01,Armenia,19,18.01,5.05,4.91,19.79,20.37,229.05,0.44
2021.01,Chile,20,17.6,3.88,3.74,25.74,26.72,127.33,0.79
2021.01,Uruguay,21,17.33,3.86,3.83,25.88,26.08,174.55,0.57
2021.01,Algeria,22,17.14,3.18,4.03,31.42,24.82,151.4,0.66
2021.01,Serbia,23,17.08,3.06,3.37,32.67,29.65,124.23,0.8
2021.01,Peru,24,16.88,5.13,4.85,19.51,20.61,192.24,0.52
2021.01,Belarus,25,16.79,4.26,4.13,23.49,24.24,250.96,0.4
2021.01,Azerbaijan,26,16.58,4.84,5.44,20.66,18.39,176.77,0.57
2021.01,Brazil,27,16.13,4.11,4.26,24.36,23.47,181.41,0.55
2021.01,Kyrgyzstan,28,15.59,6.96,6.66,14.37,15.01,262.31,0.38
2021.01,Uzbekistan,29,15.59,6.14,6.98,16.29,14.33,337.13,0.3
2021.01,El Salvador,30,15.57,6.46,7.14,15.48,14,167.29,0.6
2021.01,Czech Republic,31,15.46,3.15,3.38,31.7,29.55,99.54,1
2021.01,Albania,32,14.78,4.31,5.19,23.2,19.28,117.52,0.85
2021.01,Bangladesh,33,14.43,3.26,3.41,30.66,29.33,180.7,0.55
2021.01,Paraguay,34,14.21,5.39,6.77,18.56,14.78,204.31,0.49
2021.01,Croatia,35,14.2,3.32,3.53,30.08,28.34,103.34,0.97
2021.01,Georgia,36,14.16,6.31,7.38,15.85,13.55,177.93,0.56
2021.01,Montenegro,37,14.12,4.31,4.28,23.2,23.35,130.98,0.76
2021.01,Lebanon,38,14.07,5.46,5.74,18.32,17.43,132.92,0.75
2021.01,Poland,39,14.03,4.19,4.92,23.88,20.32,106.88,0.94
2021.01,Israel,40,13.68,2.75,2.86,36.41,35,95.98,1.04
2021.01,Egypt,41,13.65,5.53,6.23,18.08,16.05,199.74,0.5
2021.01,Guatemala,42,13.55,7.24,7.21,13.81,13.86,134.48,0.74
2021.01,Morocco,43,13.49,4.62,4.88,21.65,20.48,109.72,0.91
2021.01,France,44,13.48,2.33,2.71,42.98,36.86,78.45,1.27
2021.01,Kuwait,45,13.18,3.16,5.13,31.65,19.48,113.09,0.88
2021.01,Japan,46,13.04,2.19,2.43,45.63,41.19,75.2,1.33
2021.01,Afghanistan,47,12.95,3.29,3.85,30.42,25.97,158.02,0.63
2021.01,Moldova,48,12.71,5.73,6.55,17.45,15.28,141.74,0.71
2021.01,North Macedonia,49,12.67,4.04,3.82,24.78,26.16,105.01,0.95
2021.01,Portugal,50,12.65,4.78,5.79,20.91,17.27,78.59,1.27
2021.01,Pakistan,51,12.62,4.52,4.71,22.14,21.22,186.15,0.54
2021.01,Ecuador,52,12.59,5.8,6.01,17.25,16.64,152.27,0.66
2021.01,Malta,53,12.5,5.45,6.46,18.36,15.49,91.61,1.09
2021.01,Panama,54,12.33,7.37,7.04,13.57,14.21,101.32,0.99
2021.01,Luxembourg,55,12.17,3.32,3.66,30.09,27.29,72.08,1.39
2021.01,Tunisia,56,11.83,4.82,4.76,20.75,21.02,126.49,0.79
2021.01,Dominican Republic,57,11.76,7.31,7.39,13.68,13.54,158.8,0.63
2021.01,Hungary,58,11.6,3.79,4.04,26.37,24.75,91.39,1.09
2021.01,Mongolia,59,11.51,7.19,6.64,13.91,15.05,138.14,0.72
2021.01,India,60,11.31,3.04,3.67,32.86,27.22,123.67,0.81
2021.01,Kosovo (Disputed Territory),61,11.23,5.02,5.07,19.94,19.73,85.7,1.17
2021.01,Slovakia,62,11.14,4.56,4.8,21.95,20.82,64.73,1.54
2021.01,Russia,63,11.14,5.8,5.6,17.25,17.87,130.26,0.77
2021.01,Lithuania,64,10.97,3.71,4.19,26.96,23.87,69.31,1.44
2021.01,Slovenia,65,10.89,3.8,3.88,26.31,25.8,73.56,1.36
2021.01,Ukraine,66,10.77,6.8,7.43,14.71,13.47,207.81,0.48
2021.01,Bosnia And Herzegovina,67,10.75,3.34,3.27,29.96,30.55,79.63,1.26
2021.01,Romania,68,10.66,4.43,4.51,22.6,22.2,90.28,1.11
2021.01,Mexico,69,10.46,6.36,6.45,15.72,15.49,131.07,0.76
2021.01,Austria,70,10.4,3.16,3.46,31.68,28.94,63.66,1.57
2021.01,Greece,71,10.13,4.46,4.28,22.4,23.39,77.77,1.29
2021.01,Honduras,72,10.1,6.96,5.14,14.37,19.46,124.85,0.8
2021.01,Costa Rica,73,10.07,5.8,5.23,17.24,19.13,113.66,0.88
2021.01,Malaysia,74,9.92,3.59,4.02,27.87,24.9,74.66,1.34
2021.01,Kazakhstan,75,9.63,6.86,6.71,14.57,14.9,147.96,0.68
2021.01,Spain,76,9.59,4.49,5.23,22.29,19.11,60.14,1.66
2021.01,United Kingdom,77,9.57,3.71,4.12,26.96,24.29,64.73,1.54
2021.01,Italy,78,9.52,3.81,4.84,26.25,20.67,57.34,1.74
2021.01,Germany,79,9.12,3.24,3.53,30.91,28.34,54.68,1.83
2021.01,Estonia,80,9.11,3.92,4.04,25.54,24.76,57.95,1.73
2021.01,Iraq,81,9,5.74,7.48,17.43,13.37,97.63,1.02
2021.01,Bulgaria,82,8.97,5.01,5.61,19.97,17.84,64.25,1.56
2021.01,Bolivia,83,8.78,6.69,7.01,14.96,14.26,92.46,1.08
2021.01,Finland,84,8.64,3.05,4.06,32.81,24.63,49.53,2.02
2021.01,Sweden,85,8.56,3.2,3.64,31.27,27.5,55.56,1.8
2021.01,Norway,86,8.49,3.57,4.03,27.98,24.78,55.61,1.8
2021.01,Latvia,87,8.48,4.88,5.19,20.51,19.29,54.63,1.83
2021.01,Bahrain,88,8.48,7.2,7.4,13.88,13.52,77,1.3
2021.01,Switzerland,89,8.42,2.9,3.31,34.53,30.17,48.73,2.05
2021.01,Turkey,90,8.21,5.22,5.93,19.17,16.86,134.19,0.75
2021.01,New Zealand,91,8.09,4.58,4.79,21.82,20.89,60.41,1.66
2021.01,Jordan,92,8.03,5.31,6.32,18.82,15.82,80.19,1.25
2021.01,Trinidad And Tobago,93,7.81,8.12,6.22,12.31,16.08,68.78,1.45
2021.01,Canada,94,7.53,4.7,5.65,21.25,17.7,52.24,1.91
2021.01,Ireland,95,7.4,6.11,6.89,16.36,14.51,51.83,1.93
2021.01,Australia,96,7.38,4.29,4.3,23.3,23.25,52.89,1.89
2021.01,Netherlands,97,7.35,5.4,5.58,18.53,17.92,45.4,2.2
2021.01,Cyprus,98,7.12,6.82,7.05,14.66,14.19,46.72,2.14
2021.01,Belgium,99,6.91,4.69,4.99,21.33,20.05,41.1,2.43
2021.01,Denmark,100,6.66,4.27,4.52,23.44,22.12,39.23,2.55
2021.01,Iceland,101,6.31,6.57,7.18,15.22,13.93,53.55,1.87
2021.01,Qatar,102,5.97,7.47,7.27,13.39,13.76,46.21,2.16
2021.01,Oman,103,5.75,5.41,4.84,18.47,20.65,44.27,2.26
2021.01,United Arab Emirates,104,4.93,9.16,9.23,10.91,10.83,36.45,2.74
2021.01,Palestine,105,4.73,7.65,8.22,13.07,12.16,46.33,2.16
2021.01,United States,106,3.99,7.96,10.64,12.56,9.4,29.42,3.4
2021.01,South Africa,107,3.96,8.34,10.66,11.99,9.38,46.14,2.17
2021.01,Puerto Rico,108,3.56,8.72,8.46,11.47,11.81,27.86,3.59
2021.01,Saudi Arabia,109,2.57,8.08,8.1,12.38,12.34,18.9,5.29
2021.06,Ghana,1,101.2,10.22,0.29,9.78,341.56,2767.62,0.04
2021.06,Syria,2,66.09,3.13,3.26,31.99,30.64,781.52,0.13
2021.06,Hong Kong,3,45.71,1.6,1.67,62.4,59.72,289.3,0.35
2021.06,Cambodia,4,39.84,4.66,5.04,21.47,19.85,486,0.21
2021.06,Sri Lanka,5,38.56,2.34,2.68,42.72,37.33,565.44,0.18
2021.06,Jamaica,6,35.21,3,1.45,33.35,68.99,363.56,0.28
2021.06,Iran,7,34.87,3.81,4.65,26.21,21.51,743.74,0.13
2021.06,Philippines,8,30.2,3.23,3.2,30.93,31.29,295.13,0.34
2021.06,China,9,27.89,1.52,1.74,65.64,57.63,223.16,0.45
2021.06,Kenya,10,27.05,2.01,4.96,49.87,20.15,407.29,0.25
2021.06,Argentina,11,26.37,2.19,2.09,45.64,47.81,1105.32,0.09
2021.06,South Korea,12,26.08,0.95,1.17,104.88,85.36,178.71,0.56
2021.06,Nepal,13,22.15,2.24,3,44.6,33.37,283.94,0.35
2021.06,Taiwan,14,21.78,1.55,1.57,64.39,63.78,129.57,0.77
2021.06,Indonesia,15,21.52,4.02,4.69,24.91,21.32,249.38,0.4
2021.06,Thailand,16,21.21,3.17,3.63,31.52,27.54,172.72,0.58
2021.06,Vietnam,17,19.75,4.2,5.38,23.81,18.6,218.15,0.46
2021.06,Peru,18,18.77,4.6,4.18,21.73,23.91,211.29,0.47
2021.06,Uruguay,19,18.49,3.7,3.6,27,27.78,188.35,0.53
2021.06,Armenia,20,18.1,4.99,4.97,20.06,20.12,231.99,0.43
2021.06,Chile,21,18.08,3.76,3.87,26.62,25.82,131.36,0.76
2021.06,Algeria,22,17.81,3.1,3.71,32.27,26.98,156.66,0.64
2021.06,Singapore,23,17.63,2.61,3.12,38.28,32.02,108.34,0.92
2021.06,Azerbaijan,24,17.57,4.49,5.07,22.26,19.72,188.76,0.53
2021.06,Colombia,25,17.48,4.75,4.28,21.06,23.35,220.9,0.45
2021.06,Uzbekistan,26,17.42,6.11,7.68,16.36,13.02,355.76,0.28
2021.06,Belarus,27,16.24,4.41,4.22,22.67,23.71,272.53,0.37
2021.06,Brazil,28,15.96,4.18,4.24,23.92,23.6,176.25,0.57
2021.06,Serbia,29,15.89,3.14,3.35,31.83,29.81,115.4,0.87
2021.06,Russia,30,15.31,4.67,4.57,21.4,21.86,174.81,0.57
2021.06,Bangladesh,31,14.91,3,3.12,33.33,32.01,166.1,0.6
2021.06,Paraguay,32,14.69,5.77,6.57,17.34,15.22,211.23,0.47
2021.06,Guatemala,33,14.68,7.04,7.21,14.21,13.87,147.51,0.68
2021.06,El Salvador,34,14.66,7.24,7.12,13.81,14.05,154.18,0.65
2021.06,Venezuela,35,14.52,8.28,8.52,12.08,11.74,349.59,0.29
2021.06,Montenegro,36,14.36,4.09,4.27,24.47,23.43,122.76,0.81
2021.06,Georgia,37,14.35,5.45,6.52,18.35,15.33,182.54,0.55
2021.06,Poland,38,14.13,4.19,4.85,23.88,20.61,110.78,0.9
2021.06,Malta,39,14.11,4.85,5.83,20.61,17.16,104.8,0.95
2021.06,Nigeria,40,14.02,36.56,32.12,2.74,3.11,274.25,0.36
2021.06,Albania,41,13.74,4.07,5.17,24.59,19.34,109.25,0.92
2021.06,Czech Republic,42,13.71,3.16,3.43,31.69,29.18,86.83,1.15
2021.06,Pakistan,43,13.6,4.09,4.43,24.43,22.59,196.29,0.51
2021.06,Croatia,44,13.59,3.24,3.47,30.86,28.78,98.72,1.01
2021.06,Afghanistan,45,13.59,3.21,3.69,31.16,27.11,177.68,0.56
2021.06,Ecuador,46,13.32,5.64,5.66,17.74,17.66,163.99,0.61
2021.06,Dominican Republic,47,13.03,6.9,6.82,14.49,14.67,177.43,0.56
2021.06,Luxembourg,48,13,3.13,3.42,31.98,29.23,76.34,1.31
2021.06,Portugal,49,12.92,4.69,5.61,21.33,17.84,80.14,1.25
2021.06,Morocco,50,12.91,4.81,4.94,20.79,20.26,104.53,0.96
2021.06,Israel,51,12.87,2.89,2.86,34.66,35.02,90.07,1.11
2021.06,Egypt,52,12.73,5.78,6.44,17.3,15.54,181.54,0.55
2021.06,Kuwait,53,12.53,3.29,5.09,30.4,19.66,107.44,0.93
2021.06,North Macedonia,54,12.24,4.08,3.8,24.53,26.29,100.24,1
2021.06,Lebanon,55,12.1,5.79,6.12,17.27,16.35,115.56,0.87
2021.06,Moldova,56,11.8,5.54,5.82,18.03,17.17,127.08,0.79
2021.06,Slovenia,57,11.67,3.41,3.55,29.32,28.2,76.78,1.3
2021.06,Japan,58,11.59,2.27,2.6,44.1,38.51,66.64,1.5
2021.06,Tunisia,59,11.56,4.89,4.83,20.44,20.72,127.55,0.78
2021.06,Panama,60,11.36,7.61,8.18,13.13,12.23,94.53,1.06
2021.06,Ukraine,61,11.21,6.71,7.16,14.9,13.97,207.93,0.48
2021.06,Slovakia,62,11.08,4.52,4.9,22.1,20.4,63.94,1.56
2021.06,Bosnia And Herzegovina,63,11.02,3.31,3.22,30.22,31.03,80.38,1.24
2021.06,Austria,64,10.91,3.08,3.38,32.47,29.54,66.22,1.51
2021.06,Mexico,65,10.88,6.94,6.83,14.42,14.64,136.07,0.73
2021.06,India,66,10.78,3.14,3.74,31.89,26.76,115.47,0.87
2021.06,Mongolia,67,10.76,7.95,6.67,12.58,14.99,118.48,0.84
2021.06,Kosovo (Disputed Territory),68,10.7,4.9,4.92,20.4,20.33,81.13,1.23
2021.06,Hungary,69,10.64,3.78,4.19,26.44,23.86,83.45,1.2
2021.06,Lithuania,70,10.49,3.66,4.12,27.33,24.29,65.83,1.52
2021.06,Romania,71,10.25,4.57,4.56,21.86,21.91,86.46,1.16
2021.06,Costa Rica,72,10.04,6.31,5.67,15.85,17.63,111.45,0.9
2021.06,France,73,10.04,2.73,3.06,36.67,32.68,58.13,1.72
2021.06,Honduras,74,10.02,6.72,5.07,14.87,19.72,127.56,0.78
2021.06,Malaysia,75,9.97,3.59,3.85,27.88,26.01,74.39,1.34
2021.06,Greece,76,9.61,4.65,4.51,21.51,22.17,73.08,1.37
2021.06,Kazakhstan,77,9.49,6.97,6.79,14.34,14.72,143.52,0.7
2021.06,United Kingdom,78,9.46,3.62,4.15,27.65,24.09,63.66,1.57
2021.06,Estonia,79,9.37,3.62,3.89,27.64,25.73,59.87,1.67
2021.06,Spain,80,9.22,4.51,5.14,22.16,19.46,57.62,1.74
2021.06,Bolivia,81,8.98,7.05,6.67,14.18,15,92.44,1.08
2021.06,Germany,82,8.88,3.15,3.38,31.77,29.55,53.09,1.88
2021.06,Iraq,83,8.79,5.88,7.74,17.01,12.92,96.62,1.03
2021.06,Italy,84,8.76,4.01,4.92,24.93,20.34,52.54,1.9
2021.06,Turkey,85,8.72,6,5.78,16.68,17.3,151.75,0.66
2021.06,Finland,86,8.57,3,3.99,33.34,25.05,49.19,2.03
2021.06,Bulgaria,87,8.3,4.96,5.46,20.18,18.31,58.23,1.72
2021.06,Latvia,88,8.3,4.64,4.91,21.56,20.35,53.38,1.87
2021.06,Switzerland,89,8.18,2.97,3.34,33.71,29.98,47.17,2.12
2021.06,Norway,90,8.09,3.68,4.1,27.17,24.36,52.6,1.9
2021.06,Trinidad And Tobago,91,8,7.9,6.29,12.66,15.9,68.59,1.46
2021.06,Jordan,92,7.91,5.98,6.72,16.73,14.88,77.91,1.28
2021.06,Bahrain,93,7.87,7.08,7.24,14.12,13.8,71.4,1.4
2021.06,New Zealand,94,7.78,4.63,5.04,21.62,19.84,56.85,1.76
2021.06,Sweden,95,7.71,3.34,3.8,29.95,26.32,49.51,2.02
2021.06,Netherlands,96,7.28,5.18,5.26,19.3,19,44.5,2.25
2021.06,Australia,97,7.27,4.25,4.39,23.52,22.8,51.48,1.94
2021.06,Canada,98,7.24,4.87,5.45,20.53,18.35,49.62,2.02
2021.06,Belgium,99,7.01,4.62,4.88,21.64,20.51,41.39,2.42
2021.06,Denmark,100,7,3.85,4.07,25.95,24.57,41.19,2.43
2021.06,Ireland,101,6.69,6.32,7.46,15.82,13.41,46.39,2.16
2021.06,Cyprus,102,6.57,7.02,7.59,14.25,13.18,42.12,2.37
2021.06,Qatar,103,6.13,7.53,7.04,13.27,14.21,46.77,2.14
2021.06,Iceland,104,6.11,6.53,7.38,15.32,13.55,49.81,2.01
2021.06,Oman,105,5.45,5.86,5.17,17.05,19.35,41.98,2.38
2021.06,Palestine,106,4.67,7.67,7.95,13.04,12.58,45.46,2.2
2021.06,United Arab Emirates,107,4.49,9.3,8.72,10.76,11.47,32.89,3.04
2021.06,Puerto Rico,108,4.15,7.78,7.67,12.86,13.05,32.28,3.1
2021.06,United States,109,4.04,7.74,10.48,12.92,9.54,29.42,3.4
2021.06,South Africa,110,3.44,9.52,11.44,10.5,8.74,39.21,2.55
2021.06,Saudi Arabia,111,2.66,8.03,8.02,12.46,12.47,19.62,5.1
2022.01,Ghana,1,87.65,12.99,0.36,7.7,278.08,2349.48,0.04
2022.01,Syria,2,70.61,2.9,3.35,34.45,29.88,877.78,0.11
2022.01,Hong Kong,3,46.93,1.58,1.48,63.43,67.65,293.85,0.34
2022.01,Sri Lanka,4,45.97,2.18,2.19,45.83,45.59,649.56,0.15
2022.01,Jamaica,5,34.01,2.63,1.72,38.09,58.02,341.37,0.29
2022.01,Iran,6,33,4.58,5.52,21.81,18.13,687.68,0.15
2022.01,Cambodia,7,32.54,4.86,5.71,20.6,17.51,388.41,0.26
2022.01,Philippines,8,29.64,3.09,3.02,32.4,33.12,288.99,0.35
2022.01,South Korea,9,29.4,0.8,1.01,124.37,98.79,200.56,0.5
2022.01,China,10,29.04,1.51,1.66,66.42,60.39,233.17,0.43
2022.01,Argentina,11,26.04,2.19,2.13,45.62,46.89,1061.24,0.09
2022.01,Kenya,12,24.24,1.89,4.81,52.91,20.8,349.28,0.29
2022.01,Nepal,13,22.89,1.92,2.73,52.01,36.62,288.13,0.35
2022.01,Indonesia,14,21.92,4.15,4.68,24.09,21.36,251.7,0.4
2022.01,Taiwan,15,21.81,1.55,1.68,64.44,59.52,130.09,0.77
2022.01,Thailand,16,21.74,3.21,3.59,31.18,27.88,176.16,0.57
2022.01,Vietnam,17,20.54,3.92,4.47,25.5,22.35,228.96,0.44
2022.01,Uruguay,18,20.08,3.2,3.75,31.29,26.65,202.67,0.49
2022.01,Peru,19,19.45,4.49,4.64,22.27,21.53,227.77,0.44
2022.01,Algeria,20,18.25,3.06,3.41,32.63,29.34,165.08,0.61
2022.01,Singapore,21,17.49,2.56,3.17,39.09,31.59,105.92,0.94
2022.01,Armenia,22,17.46,4.8,5.24,20.84,19.08,219.79,0.45
2022.01,Paraguay,23,17.28,5.15,5.59,19.42,17.9,236.7,0.42
2022.01,Chile,24,17.17,3.9,4.27,25.64,23.42,138.23,0.72
2022.01,Colombia,25,16.89,5.01,4.37,19.97,22.88,212.24,0.47
2022.01,Uzbekistan,26,16.86,6,8.1,16.66,12.34,335.68,0.3
2022.01,Azerbaijan,27,16.77,4.26,4.63,23.48,21.61,187.14,0.53
2022.01,Belarus,28,16.69,4.48,4.32,22.31,23.14,295.01,0.34
2022.01,Serbia,29,16.52,3,3.19,33.34,31.39,119.48,0.84
2022.01,Brazil,30,16.26,4.17,4.23,23.96,23.64,177.84,0.56
2022.01,Nigeria,31,16.11,34.35,31.91,2.91,3.13,326.04,0.31
2022.01,El Salvador,32,15.8,6.87,6.19,14.55,16.16,176.44,0.57
2022.01,Montenegro,33,15.32,4.38,4.74,22.85,21.12,130.86,0.76
2022.01,Russia,34,14.84,4.92,4.53,20.33,22.07,168.04,0.6
2022.01,Venezuela,35,14.35,8.52,8.22,11.74,12.16,339.26,0.29
2022.01,Pakistan,36,14.33,3.81,4.4,26.23,22.73,199.44,0.5
2022.01,Dominican Republic,37,14.26,6.32,5.97,15.81,16.76,195.71,0.51
2022.01,Afghanistan,38,14.09,3.04,3.92,32.91,25.52,185.54,0.54
2022.01,Albania,39,14.06,4.05,5.2,24.71,19.22,110.48,0.91
2022.01,Guatemala,40,14.03,6.97,7.46,14.36,13.41,139.8,0.72
2022.01,Mongolia,41,13.96,6.7,6.94,14.92,14.4,149.81,0.67
2022.01,Croatia,42,13.92,3.22,3.33,31.07,30.03,98.98,1.01
2022.01,Czech Republic,43,13.56,2.98,3.16,33.56,31.62,86.09,1.16
2022.01,Luxembourg,44,13.55,3.02,3.35,33.16,29.89,80.41,1.24
2022.01,Bangladesh,45,13.54,3.07,3.2,32.56,31.25,149.49,0.67
2022.01,Israel,46,13.51,2.69,2.85,37.17,35.14,94.59,1.06
2022.01,Malta,47,13.11,5.04,5.57,19.85,17.94,95.96,1.04
2022.01,Morocco,48,12.6,4.68,4.97,21.39,20.11,101.72,0.98
2022.01,North Macedonia,49,12.49,3.68,3.53,27.14,28.34,100.39,1
2022.01,Ecuador,50,12.48,5.84,5.64,17.11,17.74,152.32,0.66
2022.01,Kuwait,51,12.26,3.43,5.04,29.17,19.84,103.47,0.97
2022.01,Portugal,52,12.25,4.87,5.93,20.52,16.87,75.37,1.33
2022.01,Lebanon,53,12.2,5.91,6.09,16.92,16.43,116.05,0.86
2022.01,Egypt,54,12.04,5.92,6.52,16.9,15.34,165.22,0.61
2022.01,Georgia,55,12.03,5.81,6.64,17.22,15.07,155.13,0.64
2022.01,Tunisia,56,11.75,4.81,4.82,20.79,20.77,131.51,0.76
2022.01,Slovenia,57,11.5,3.51,3.72,28.49,26.88,73.89,1.35
2022.01,Poland,58,11.21,3.92,4.29,25.51,23.29,80.48,1.24
2022.01,Panama,59,11.18,8.07,7.56,12.39,13.23,93.44,1.07
2022.01,Slovakia,60,11.18,4.27,4.51,23.44,22.19,63.85,1.57
2022.01,Japan,61,11.02,2.34,2.73,42.76,36.61,63.22,1.58
2022.01,Lithuania,62,10.98,3.69,4.02,27.13,24.9,68.72,1.46
2022.01,Ukraine,63,10.92,6.11,6.56,16.36,15.23,193.75,0.52
2022.01,Kosovo (Disputed Territory),64,10.91,4.6,5.06,21.73,19.78,83.14,1.2
2022.01,Hungary,65,10.88,3.81,4.14,26.24,24.18,85.77,1.17
2022.01,Bosnia And Herzegovina,66,10.78,3.33,3.24,30.01,30.87,76.38,1.31
2022.01,Austria,67,10.75,3.16,3.37,31.66,29.7,65.04,1.54
2022.01,Costa Rica,68,10.64,5.65,5.54,17.69,18.04,117.74,0.85
2022.01,Kazakhstan,69,10.48,7.22,6.96,13.85,14.37,155.97,0.64
2022.01,Romania,70,10.44,4.38,4.45,22.85,22.49,87.24,1.15
2022.01,Moldova,71,10.28,6.34,6.87,15.77,14.57,108.54,0.92
2022.01,Turkey,72,10.27,5.66,5.24,17.66,19.07,187,0.53
2022.01,India,73,10.16,3.09,3.72,32.32,26.86,106.3,0.94
2022.01,Greece,74,10.12,4.54,4.5,22.05,22.21,75.82,1.32
2022.01,Bolivia,75,9.96,6.29,6.1,15.89,16.39,103.12,0.97
2022.01,France,76,9.94,2.79,3.13,35.84,31.99,57.37,1.74
2022.01,Malaysia,77,9.78,3.69,4.02,27.09,24.88,72.01,1.39
2022.01,Mauritius,78,9.71,7.22,5.78,13.85,17.3,90.61,1.1
2022.01,Honduras,79,9.61,7.24,5.27,13.81,18.97,121.06,0.83
2022.01,Estonia,80,9.25,3.79,4.16,26.4,24.02,58.91,1.7
2022.01,Iraq,81,9.09,5.68,7.42,17.61,13.48,102.99,0.97
2022.01,Germany,82,8.93,3.04,3.31,32.94,30.17,53.11,1.88
2022.01,United Kingdom,83,8.86,3.86,4.27,25.89,23.43,59.56,1.68
2022.01,Spain,84,8.78,4.41,5.1,22.69,19.61,54.72,1.83
2022.01,Mexico,85,8.69,7.68,7.25,13.03,13.8,108,0.93
2022.01,Italy,86,8.61,4.08,4.95,24.49,20.22,51.43,1.94
2022.01,Trinidad And Tobago,87,8.53,7.05,6.19,14.18,16.14,72.12,1.39
2022.01,Switzerland,88,8.29,2.92,3.22,34.24,31.07,47.48,2.11
2022.01,Latvia,89,8.13,4.16,5.32,24.04,18.81,52.08,1.92
2022.01,Norway,90,8.04,3.61,4.14,27.7,24.16,52.05,1.92
2022.01,Jordan,91,8.02,6.05,6.23,16.54,16.04,77.8,1.29
2022.01,New Zealand,92,7.96,4.57,5.02,21.88,19.93,57.33,1.74
2022.01,Finland,93,7.95,3.24,4.21,30.9,23.74,45.4,2.2
2022.01,Sweden,94,7.81,3.23,3.79,30.97,26.37,49.6,2.02
2022.01,Bulgaria,95,7.68,5.05,5.67,19.79,17.63,53.04,1.89
2022.01,Canada,96,7.52,4.72,5.44,21.17,18.37,51.03,1.96
2022.01,Australia,97,7.2,4.09,4.7,24.44,21.29,50,2
2022.01,Netherlands,98,7.15,5.2,5.29,19.23,18.89,43.42,2.3
2022.01,Belgium,99,7.09,4.61,4.78,21.69,20.93,41.72,2.4
2022.01,Denmark,100,6.78,3.98,4.3,25.14,23.27,39.54,2.53
