unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
7717147,World Bank,GDP (current US$),GDP (current US$),2023,4,37,15,0.9195,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1986,"190651168.352328,235253063.627687,264308140.285149,267448570.271348,306890961.188801,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979271.869894,490608657.924976,521910560.524868,592416703.058878,539227277.626411",2023-12-21 21:04:32
7717201,World Bank,GDP (current US$),GDP (current US$),2023,4,152,15,0.91935,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1968,"772231413.882625,788641964.643457,865975307.776,882765470.722173,1024098397.79931,972101724.995368,1217953546.97604,1575789254.46938,1452788944.45628,1382400000.0,1604162497.45945,1851250008.33333,1945916583.33333,2275583316.66667,2395423680.22852",2023-12-21 21:04:38
7717131,World Bank,GDP (current US$),GDP (current US$),2023,4,1,15,0.91905,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1960,"537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778",2023-12-21 21:04:30
7717225,World Bank,GDP (current US$),GDP (current US$),2023,4,220,15,0.91839,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1991,"4956587901.61865,4601413521.13102,4257702021.44302,4510847189.15431,5255221043.83861,6496195823.96993,7683852496.84499,12270448546.3584,12711213451.034,13375976353.6994,13581644245.7352,14142035080.2849,15224257698.482,16675948414.7573,18399046025.2688",2023-12-21 21:04:40
7717182,World Bank,GDP (current US$),GDP (current US$),2023,4,105,15,0.91834,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"1659131243.73837,1947332921.74718,2328658227.8481,2822358473.16983,3032409189.11876,3422735301.694,4466353634.82657,5928788780.55394,5486918994.79345,5920366628.33178,6565668780.72984,6690228489.42816,7001180245.79298,7708459145.00473,7084795708.26863",2023-12-21 21:04:36
7717216,World Bank,GDP (current US$),GDP (current US$),2023,4,172,15,0.9179,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"8495806432.18467,7196260656.84556,7691367471.17992,9624440836.29309,10737500188.1123,13429430050.261,17856393235.4338,24615267617.0323,22355151177.738,27129301048.0505,33737033607.0615,33296438408.8556,38651334593.0289,40377987314.6435,36211372646.38",2023-12-21 21:04:39
7717153,World Bank,GDP (current US$),GDP (current US$),2023,4,45,15,0.91768,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1978,"149540752829.268,178280594413.043,191149211575.0,195866382432.54,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712715.856",2023-12-21 21:04:33
7717223,World Bank,GDP (current US$),GDP (current US$),2023,4,216,15,0.91725,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1980,"122557234458.215,112242424557.831,115044782162.741,114632083163.394,109456088574.231,110979185023.147,159088447135.692,199237483444.448,215540625298.982,208102666687.042,265771545360.201,268903256527.525,279917776400.299,272234456388.102,301376707849.169",2023-12-21 21:04:40
7717171,World Bank,GDP (current US$),GDP (current US$),2023,4,85,15,0.91671,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1997,"1072154406.78905,1149858126.95747,1131555107.04907,1068024993.98697,1086170638.72901,1169136691.35372,1558759744.20913,1822499870.64051,1849802648.36391,2013106816.66011,2249811364.54199,2499092396.11838,2529964060.53747,2503167187.49305,2684461607.93113",2023-12-21 21:04:35
7717183,World Bank,GDP (current US$),GDP (current US$),2023,4,106,15,0.91593,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"134637422752.725,125059962957.686,131298954868.837,139973668874.271,147083996033.603,158670160184.179,184052885585.912,220529762562.362,211968128528.444,238364092298.023,266791854430.897,262282344091.849,297732778479.129,314330061977.263,303414276832.04",2023-12-21 21:04:36
7717229,World Bank,GDP (current US$),GDP (current US$),2023,4,227,15,0.91464,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1985,"8410227733.15327,9017804761.57991,9696710059.88566,10096243800.7898,10101853518.0853,12290568181.8182,13074782608.6957,15496702219.8771,14608340459.4475,15633171728.3223,18030876599.3444,19587155099.3502,20746204100.7016,21802893587.126,22943202174.9668",2023-12-21 21:04:40
7717195,World Bank,GDP (current US$),GDP (current US$),2023,4,138,15,0.91348,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"4613637222.14006,4841310239.63687,5816559038.54545,6578840498.66931,6488743119.74298,7028810754.78164,8150150144.15635,9990356849.29491,9128843109.15588,10003670690.3497,11518413429.9684,11668696526.2252,12292974007.9361,13074130094.3723,12007291045.6489",2023-12-21 21:04:37
7717176,World Bank,GDP (current US$),GDP (current US$),2023,4,93,15,0.91251,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2000,"712667896.727512,712167448.895612,726131434.715338,743063949.040207,787814379.183843,824880550.343965,2379817986.72917,2730971599.89457,3025187428.38436,3165663152.73351,3432912511.30491,3691384317.52178,4063088529.13592,4167800935.59943,4127660158.47323",2023-12-21 21:04:35
7717231,World Bank,GDP (current US$),GDP (current US$),2023,4,234,15,0.91216,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,289787452661.675,350666058379.85,384610125391.423,400218529748.128,414105366752.893,370275469571.137",2023-12-21 21:04:41
7717191,World Bank,GDP (current US$),GDP (current US$),2023,4,125,15,0.91151,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1980,"534699256.772624,511647837.146855,522096760.52682,524023708.331749,502620920.656533,529073612.453579,779357946.9847,1052849231.31947,1161757671.01756,1119983801.21338,1421508875.2782,1484160643.69467,1631176646.65913,1673085618.34241,1948128910.55555",2023-12-21 21:04:37
7717221,World Bank,GDP (current US$),GDP (current US$),2023,4,187,15,0.91146,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"458643829.014199,481077373.669966,469869869.86987,506900000.0,547203703.703704,644414814.814815,689285185.185185,777691333.333333,774273111.111111,778718518.518518,836092592.592593,825381481.481481,874896296.296296,953170370.37037,957037037.037037",2023-12-21 21:04:40
7717196,World Bank,GDP (current US$),GDP (current US$),2023,4,140,15,0.91069,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2000,"707909864021.779,756702925694.04,772109710670.873,729335024013.225,782242912348.371,877476892365.264,975383402912.585,1052697085016.35,1109987401386.38,900047015737.995,1057800597973.65,1180487226406.78,1201093787127.42,1274443916251.64,1315356131262.48",2023-12-21 21:04:37
7717166,World Bank,GDP (current US$),GDP (current US$),2023,4,80,15,0.91052,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",2001,"3219462779.685,3395766677.67315,3991377904.13162,5125365191.98664,6410912049.87105,7745249283.88222,10172933118.493,12795147991.8388,10766919442.0789,12243219360.2985,15107482383.3798,16488819132.8835,17190068235.7892,17627336228.0536,14953675992.6704",2023-12-21 21:04:34
7717185,World Bank,GDP (current US$),GDP (current US$),2023,4,110,15,0.91035,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1981,"1218988750886.49,1134518153718.18,1243323766554.87,1318381627007.46,1398892549340.87,2078952922458.31,2532808573157.03,3071683812149.66,3054913797217.03,3132817652848.04,3584420964070.07,3908808434705.26,4454144444407.9,4998797262443.29,5545564892181.15",2023-12-21 21:04:36
7717194,World Bank,GDP (current US$),GDP (current US$),2023,4,135,15,0.91007,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1995,"120230000.0,110858000.0,110705600.0,112279400.0,114326300.0,115347500.0,122824000.0,131738200.0,131398500.0,132934600.0,137666300.0,142745200.0,149870000.0,145969100.0,150624900.0",2023-12-21 21:04:37
7717206,World Bank,GDP (current US$),GDP (current US$),2023,4,156,15,0.91005,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1997,"66073130218.3528,56226503975.8201,58762260625.8758,52622954598.9299,53872463497.1703,66627729311.4495,88250885550.2626,103905628688.949,114720129550.095,111538810712.665,137188946865.584,133131369930.414,121373602348.679,146517541181.254,168291357111.739",2023-12-21 21:04:38
7717154,World Bank,GDP (current US$),GDP (current US$),2023,4,49,15,0.90995,2002,"512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0",1997,"364445600.133152,370106745.980287,382454989.945311,351136579.797929,378512024.115338,425964681.148945,546885223.179133,633706110.445225,653845169.189708,698431794.458549,795673153.183435,915659107.761637,905341173.973674,907978731.702118,1023086272.69622",2023-12-21 21:04:33
